Body Pose:
  Landmark 0: (384, 258) | Visibility: 1.000
  Landmark 1: (388, 252) | Visibility: 1.000
  Landmark 2: (391, 252) | Visibility: 1.000
  Landmark 3: (393, 253) | Visibility: 1.000
  Landmark 4: (379, 252) | Visibility: 1.000
  Landmark 5: (377, 253) | Visibility: 1.000
  Landmark 6: (375, 253) | Visibility: 1.000
  Landmark 7: (397, 256) | Visibility: 1.000
  Landmark 8: (373, 257) | Visibility: 1.000
  Landmark 9: (390, 265) | Visibility: 1.000
  Landmark 10: (380, 266) | Visibility: 1.000
  Landmark 11: (421, 295) | Visibility: 1.000
  Landmark 12: (356, 297) | Visibility: 0.997
  Landmark 13: (429, 342) | Visibility: 0.982
  Landmark 14: (346, 342) | Visibility: 0.806
  Landmark 15: (400, 372) | Visibility: 0.889
  Landmark 16: (354, 355) | Visibility: 0.651
  Landmark 17: (395, 384) | Visibility: 0.786
  Landmark 18: (354, 361) | Visibility: 0.603
  Landmark 19: (389, 380) | Visibility: 0.797
  Landmark 20: (357, 354) | Visibility: 0.615
  Landmark 21: (388, 377) | Visibility: 0.783
  Landmark 22: (358, 351) | Visibility: 0.595
  Landmark 23: (404, 372) | Visibility: 0.989
  Landmark 24: (371, 373) | Visibility: 0.992
  Landmark 25: (417, 400) | Visibility: 0.624
  Landmark 26: (344, 389) | Visibility: 0.729
  Landmark 27: (395, 452) | Visibility: 0.268
  Landmark 28: (333, 464) | Visibility: 0.529
  Landmark 29: (389, 459) | Visibility: 0.408
  Landmark 30: (335, 475) | Visibility: 0.489
  Landmark 31: (384, 463) | Visibility: 0.241
  Landmark 32: (317, 489) | Visibility: 0.365
