Second 0: No pose detected
Second 1: No pose detected
Second 2: No pose detected
Second 3: No pose detected
Second 4:
  Body Pose:
    Landmark 0: (613, 164) | Visibility: 0.989
    Landmark 1: (616, 141) | Visibility: 0.987
    Landmark 2: (623, 142) | Visibility: 0.987
    Landmark 3: (629, 143) | Visibility: 0.988
    Landmark 4: (588, 142) | Visibility: 0.992
    Landmark 5: (577, 144) | Visibility: 0.993
    Landmark 6: (567, 146) | Visibility: 0.996
    Landmark 7: (624, 160) | Visibility: 0.988
    Landmark 8: (549, 169) | Visibility: 0.996
    Landmark 9: (622, 195) | Visibility: 0.964
    Landmark 10: (585, 198) | Visibility: 0.971
    Landmark 11: (677, 281) | Visibility: 0.959
    Landmark 12: (443, 324) | Visibility: 0.992
    Landmark 13: (740, 276) | Visibility: 0.208
    Landmark 14: (419, 436) | Visibility: 0.374
    Landmark 15: (608, 221) | Visibility: 0.061
    Landmark 16: (469, 423) | Visibility: 0.191
    Landmark 17: (550, 217) | Visibility: 0.049
    Landmark 18: (477, 422) | Visibility: 0.185
    Landmark 19: (552, 214) | Visibility: 0.051
    Landmark 20: (480, 401) | Visibility: 0.194
    Landmark 21: (563, 222) | Visibility: 0.050
    Landmark 22: (483, 403) | Visibility: 0.169
    Landmark 23: (636, 623) | Visibility: 0.905
    Landmark 24: (499, 625) | Visibility: 0.946
    Landmark 25: (655, 771) | Visibility: 0.186
    Landmark 26: (539, 831) | Visibility: 0.144
    Landmark 27: (629, 997) | Visibility: 0.047
    Landmark 28: (515, 1044) | Visibility: 0.034
    Landmark 29: (621, 1027) | Visibility: 0.046
    Landmark 30: (507, 1073) | Visibility: 0.031
    Landmark 31: (622, 1083) | Visibility: 0.027
    Landmark 32: (528, 1121) | Visibility: 0.022
Second 5: No pose detected
Second 6:
  Body Pose:
    Landmark 0: (438, 276) | Visibility: 0.990
    Landmark 1: (475, 219) | Visibility: 0.989
    Landmark 2: (502, 217) | Visibility: 0.988
    Landmark 3: (528, 215) | Visibility: 0.989
    Landmark 4: (425, 223) | Visibility: 0.992
    Landmark 5: (415, 224) | Visibility: 0.993
    Landmark 6: (405, 225) | Visibility: 0.996
