Second 0:
  Body Pose:
    Landmark 0: (336, 280) | Visibility: 1.000
    Landmark 1: (370, 227) | Visibility: 1.000
    Landmark 2: (389, 224) | Visibility: 1.000
    Landmark 3: (404, 221) | Visibility: 1.000
    Landmark 4: (307, 234) | Visibility: 1.000
    Landmark 5: (289, 236) | Visibility: 1.000
    Landmark 6: (274, 238) | Visibility: 0.999
    Landmark 7: (441, 230) | Visibility: 1.000
    Landmark 8: (269, 251) | Visibility: 0.999
    Landmark 9: (376, 320) | Visibility: 1.000
    Landmark 10: (307, 323) | Visibility: 1.000
    Landmark 11: (608, 395) | Visibility: 1.000
    Landmark 12: (230, 370) | Visibility: 0.998
    Landmark 13: (653, 778) | Visibility: 0.997
    Landmark 14: (49, 530) | Visibility: 0.963
    Landmark 15: (432, 991) | Visibility: 0.991
    Landmark 16: (146, 318) | Visibility: 0.944
    Landmark 17: (401, 1075) | Visibility: 0.967
    Landmark 18: (173, 222) | Visibility: 0.861
    Landmark 19: (344, 1055) | Visibility: 0.967
    Landmark 20: (208, 208) | Visibility: 0.825
    Landmark 21: (344, 1027) | Visibility: 0.961
    Landmark 22: (219, 248) | Visibility: 0.803
    Landmark 23: (547, 853) | Visibility: 1.000
    Landmark 24: (337, 814) | Visibility: 0.999
    Landmark 25: (498, 1025) | Visibility: 0.829
    Landmark 26: (35, 916) | Visibility: 0.829
    Landmark 27: (561, 1207) | Visibility: 0.404
    Landmark 28: (292, 1100) | Visibility: 0.229
    Landmark 29: (577, 1214) | Visibility: 0.448
    Landmark 30: (354, 1097) | Visibility: 0.293
    Landmark 31: (568, 1368) | Visibility: 0.333
    Landmark 32: (290, 1277) | Visibility: 0.195
Second 1:
  Body Pose:
    Landmark 0: (335, 285) | Visibility: 1.000
    Landmark 1: (366, 231) | Visibility: 1.000
    Landmark 2: (386, 227) | Visibility: 1.000
    Landmark 3: (404, 223) | Visibility: 1.000
    Landmark 4: (309, 238) | Visibility: 1.000
    Landmark 5: (293, 240) | Visibility: 1.000
    Landmark 6: (278, 241) | Visibility: 0.999
    Landmark 7: (442, 233) | Visibility: 1.000
    Landmark 8: (276, 252) | Visibility: 0.999
    Landmark 9: (373, 326) | Visibility: 1.000
    Landmark 10: (309, 326) | Visibility: 1.000
    Landmark 11: (608, 395) | Visibility: 1.000
    Landmark 12: (233, 376) | Visibility: 0.998
    Landmark 13: (652, 777) | Visibility: 0.997
    Landmark 14: (40, 540) | Visibility: 0.964
    Landmark 15: (434, 986) | Visibility: 0.991
    Landmark 16: (145, 323) | Visibility: 0.945
    Landmark 17: (400, 1076) | Visibility: 0.968
    Landmark 18: (176, 229) | Visibility: 0.863
    Landmark 19: (345, 1053) | Visibility: 0.968
    Landmark 20: (208, 210) | Visibility: 0.827
    Landmark 21: (347, 1024) | Visibility: 0.962
    Landmark 22: (219, 248) | Visibility: 0.804
    Landmark 23: (540, 865) | Visibility: 1.000
    Landmark 24: (333, 822) | Visibility: 0.999
    Landmark 25: (436, 1005) | Visibility: 0.838
    Landmark 26: (14, 920) | Visibility: 0.832
    Landmark 27: (552, 1204) | Visibility: 0.423
    Landmark 28: (300, 1074) | Visibility: 0.234
    Landmark 29: (576, 1210) | Visibility: 0.463
    Landmark 30: (367, 1062) | Visibility: 0.299
    Landmark 31: (560, 1368) | Visibility: 0.352
    Landmark 32: (314, 1239) | Visibility: 0.199
Second 2: No pose detected
Second 3:
  Body Pose:
    Landmark 0: (405, 145) | Visibility: 1.000
    Landmark 1: (416, 127) | Visibility: 1.000
    Landmark 2: (421, 129) | Visibility: 1.000
    Landmark 3: (427, 130) | Visibility: 1.000
    Landmark 4: (394, 123) | Visibility: 1.000
    Landmark 5: (385, 122) | Visibility: 1.000
    Landmark 6: (377, 121) | Visibility: 0.999
    Landmark 7: (433, 143) | Visibility: 1.000
    Landmark 8: (364, 130) | Visibility: 1.000
    Landmark 9: (413, 172) | Visibility: 1.000
    Landmark 10: (387, 167) | Visibility: 1.000
    Landmark 11: (445, 298) | Visibility: 1.000
    Landmark 12: (292, 242) | Visibility: 0.999
    Landmark 13: (456, 457) | Visibility: 0.948
    Landmark 14: (207, 403) | Visibility: 0.965
    Landmark 15: (509, 560) | Visibility: 0.964
    Landmark 16: (259, 521) | Visibility: 0.938
    Landmark 17: (525, 598) | Visibility: 0.940
    Landmark 18: (266, 566) | Visibility: 0.857
    Landmark 19: (521, 592) | Visibility: 0.942
    Landmark 20: (272, 560) | Visibility: 0.824
    Landmark 21: (507, 578) | Visibility: 0.936
    Landmark 22: (272, 545) | Visibility: 0.802
    Landmark 23: (403, 607) | Visibility: 1.000
    Landmark 24: (314, 593) | Visibility: 0.999
    Landmark 25: (355, 857) | Visibility: 0.805
    Landmark 26: (302, 847) | Visibility: 0.838
    Landmark 27: (303, 1075) | Visibility: 0.455
    Landmark 28: (289, 1101) | Visibility: 0.302
    Landmark 29: (265, 1105) | Visibility: 0.488
    Landmark 30: (259, 1138) | Visibility: 0.335
    Landmark 31: (371, 1156) | Visibility: 0.396
